number,set,set_name,keyword,explanation,quiz_prompt,accepted_answers
1,1,Digital Foundations,Hardware,"The physical parts of a computer or digital device that you can touch, such as the screen, keyboard, processor, and storage device. These parts work together with software, which provides the instructions.",Which term refers to the physical components of a digital device that you can touch?,
2,1,Digital Foundations,Software,"The programs and instructions that run on a digital device. Applications, operating systems, browsers, and games are examples, and unlike physical components, these instructions are not tangible.",Which term refers to the non-physical programs and instructions that run on a digital device?,
3,1,Digital Foundations,OS,"OS stands for Operating System, the main software layer that manages a device and coordinates other programs with its hardware. Windows, macOS, iOS, and Android are common examples.",Which short term names the main software layer that manages a device and supports other programs?,Operating System
4,1,Digital Foundations,Processor,"The component that carries out instructions and calculations inside a computer. It is also called the CPU, or Central Processing Unit, and it strongly affects how quickly many tasks can be performed.",Which term names the computer component that carries out instructions and calculations?,CPU
5,1,Digital Foundations,Memory,"Temporary working space, usually RAM, that holds information while programs are running. Its contents are generally lost when the device is turned off.",Which term refers to temporary working space that holds information while programs are running?,RAM
6,1,Digital Foundations,Storage,"Long-term space that keeps files and data on devices such as SSDs or hard drives. Unlike temporary working memory, the information remains available after the device is turned off.",Which term refers to long-term space that keeps files even after a device is turned off?,
7,1,Digital Foundations,Format,"The way information is organized inside a file. PDF, JPEG, CSV, DOCX, and MP3 are examples, and a file extension often indicates this organization.","Which term describes the way information is organized inside a file, such as PDF, JPEG, or CSV?",File Format
8,1,Digital Foundations,Path,"The location of a file or folder inside a computer system. It is often called a file path and is needed when code must locate images, documents, or datasets.",Which term refers to the address-like location of a file or folder inside a computer system?,File Path
9,1,Digital Foundations,Directory,"A location used to organize files and other directories. In everyday computer use, it is usually called a folder, while the technical term is common in programming and command-line environments.",Which term is the technical name for a folder used to organize files and subfolders?,Folder
10,1,Digital Foundations,Cloud,"Remote computing resources that provide storage, processing, or software through the internet. Services such as Google Drive let users work with resources that are not stored only on their own device.","Which term refers to using remote computers over the internet for storage, processing, or software?",Cloud Computing
11,1,Digital Foundations,Network,"A group of computers or devices that can communicate with one another. A home Wi-Fi setup is a small example, while the internet connects many such groups around the world.",Which term describes a group of connected devices that can communicate with one another?,
12,1,Digital Foundations,Internet,"The global infrastructure that connects computers and digital devices. It supports many services, including the Web, email, cloud storage, and online communication.",Which term refers to the global infrastructure that connects computers and digital devices worldwide?,
13,1,Digital Foundations,Web,"Short for the World Wide Web, a system of linked pages and resources accessed through the internet. It is one service that uses the internet, not the internet itself.",Which term refers to the system of linked pages and resources accessed through the internet?,World Wide Web
14,1,Digital Foundations,Browser,"Software used to retrieve and display content from the Web. Chrome, Safari, Firefox, and Edge are examples, and this should not be confused with a search engine.","Which term names software such as Chrome, Safari, Firefox, or Edge that displays web content?",
15,1,Digital Foundations,Server,A computer or software system that provides information or services when another device requests them. Websites commonly depend on this kind of system to deliver pages and data.,Which term refers to a computer or program that provides data or services to requesting devices?,
16,1,Digital Foundations,Client,A device or program that requests information or services from another system. A web browser plays this role when it asks a remote computer for a webpage.,Which term refers to the device or program that requests data or services from another system?,
17,1,Digital Foundations,Domain,"A human-readable name used to identify an internet location, such as example.com. More formally called a domain name, it is easier to remember than a numerical network address.",Which term refers to a human-readable internet name such as example.com?,Domain Name
18,1,Digital Foundations,URL,"An address that identifies a specific resource on the Web. URL stands for Uniform Resource Locator and can point to a page, image, document, video, or other online resource.",Which abbreviation refers to the web address of a specific online resource?,Uniform Resource Locator
19,1,Digital Foundations,Webpage,"A single document or page available on the Web. A larger site usually contains many of these, and each one generally has its own address.",Which term refers to one individual page or document within a larger site on the Web?,Web Page
20,1,Digital Foundations,Website,"A collection of related pages available under the same domain. A university site, for example, may contain separate pages for departments, courses, admissions, and research.",Which term refers to a collection of related web pages under one domain?,
21,2,Data & Coding Basics,Application,"Software designed to help users perform a particular task. It is commonly shortened to app and may run on a computer, smartphone, tablet, or through a browser.",Which term refers to software designed for a specific user task and is often shortened to app?,App
22,2,Data & Coding Basics,Platform,"An environment in which software, services, or content can operate. An operating system, a browser-based service, or a learning environment can all function in this role depending on context.","Which term refers to an environment in which software, services, or digital content can operate?",
23,2,Data & Coding Basics,Data,"Information that a computer can store, process, or analyze. Numbers, text, images, audio, survey responses, and learner scores can all take this form.","Which term refers broadly to information that computers can store, process, or analyze?",
24,2,Data & Coding Basics,Metadata,"Information that describes other information. For example, an image may include its size, creation date, dimensions, or camera settings, which help systems organize and interpret it.","Which term means information that describes other information, such as a file's date, size, or dimensions?",
25,2,Data & Coding Basics,Database,"An organized collection designed for efficient storage and retrieval of information. An educational app might use one to store vocabulary, learner responses, scores, or progress records.",Which term refers to an organized collection used to store and retrieve structured information efficiently?,
26,2,Data & Coding Basics,Input,"Information provided to a computer or program. Typing text, clicking a button, speaking into a microphone, and selecting an answer are all examples.",Which term refers to information or actions provided to a computer or program?,
27,2,Data & Coding Basics,Output,"Information produced by a computer or program after some processing. Text on a screen, a score, an image, audio, or feedback can all be examples.",Which term refers to information produced by a computer or program after processing?,
